script,grapheme,unicode,IPA,comment,source,omniglot
Abkhaz,?,U+0430,a,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-192",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0431,b,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-193",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0432,v,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-194",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0433,g,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-195",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+0433 U+044C,g?,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-196",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+0433 U+04D9,??,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-197",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0495,?,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-199",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+0495 U+044C,??,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-201",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+0495 U+04D9,???,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-203",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0434,d,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-204",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+0434 U+04D9,d?,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-205",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+045F,??,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-206",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,??,U+045F U+044C,?,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-207",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0435,e,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-208",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+0435,?,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-209",https://www.omniglot.com/writing/abkhaz.htm
Abkhaz,?,U+04BD,??,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-210",https://www.omniglot.com/writing/abkhaz.htm
