script,grapheme,unicode,IPA,comment,source,omniglot
Abaza,а,U+0430,a,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,б,U+0431,b,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,в,U+0432,v,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,г,U+0433,ɡ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гв,U+0433 U+0432,ɡʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гъ,U+0433 U+044A,ʁ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гъв,U+0433 U+044A U+0432,ʁʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гъь,U+0433 U+044A U+044C,ʁʲ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гь,U+0433 U+044C,ɡʲ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гӏ,U+0433 U+04CF,ʕ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,гӏв,U+0433 U+04CF U+0432,ʕʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,д,U+0434,d,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,дж,U+0434 U+0436,ɖʐ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,джв,U+0434 U+0436 U+0432,dʒʷ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,джь,U+0434 U+0436 U+044C,dʒ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,дз,U+0434 U+0437,dz,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,е,U+0435,e,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,е,U+0435,ɛ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
Abaza,ж,U+0436,ʐ,,"Hewitt G. Introduction to the Study of the Languages of the Caucasus. — München: Lincom, 2004. — P. 260-265",https://www.omniglot.com/writing/abaza.htm
