script,grapheme,unicode,ӏPA,comment,source,omniglot
Aghul,а,U+0430,a,,Гасанова 2016: 5–11.,https://www.omniglot.com/writing/aghul.htm
Aghul,б,U+0431,b,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,в,U+0432,w,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,г,U+0433,ɡ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,гъ,U+0433 U+044A,ʁ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,гь,U+0433 U+044C,ɦ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,гӏ,U+0433 U+04CF,ʢ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,д,U+0434,d,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,дж,U+0434 U+0436,d͡ʒ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,е,U+0435,e,,Гасанова 2016: 5–11.,https://www.omniglot.com/writing/aghul.htm
Aghul,ё,U+0451,jo,,Гасанова 2016: 5–11.,https://www.omniglot.com/writing/aghul.htm
Aghul,ж,U+0436,ʒ,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,з,U+0437,z,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,и,U+0438,i,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,й,U+0439,j,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,к,U+043A,k,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,кк,U+043A U+043A,kː,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
Aghul,къ,U+043A U+044A,qː,,Магометов 1967: 562-563.,https://www.omniglot.com/writing/aghul.htm
