script,grapheme,IPA,comment,source,omniglot
Avar,а,a,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,б,b,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,в,w,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,г,g,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,гъ,ʁ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,гь,h,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,гӏ,ʕ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,д,d,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,е,e,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,е,je,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,ё,jo,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,ж,z,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,з,ð,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,и,i,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,й,j,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,к,kʰ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,кк,kʰː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,къ,qχʼ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,кь,tɬːʼ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,кӏ,kʼ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,кӏкӏ,kːʼ,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,л,l,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,лӏ,tɬʰː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,лъ,ɬ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,лълъ,ɬː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,м,m,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,н,n,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,о,o,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,п,p,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,р,r,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,с,s,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,сс,sː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,т,tʰ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,тӏ,tʼ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,у,u,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,ф,f,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,х,χ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,хх,χː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,хъ,qχʰ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,хь,x,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,хьхь,xː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,хӏ,ħ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,ц,tsʰ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,цц,tsʰː,doubtful,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
Avar,цӏ,tsʼ,,Мадиева 1967: 257.,http://www.omniglot.com/writing/avar.htm
