script,grapheme,unicode,ӏPA,comment,source,omniglot
Avar,а,U+0430,a,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 257",http://www.omniglot.com/writing/avar.htm
Avar,б,U+0431,b,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 258",http://www.omniglot.com/writing/avar.htm
Avar,в,U+0432,w,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 259",http://www.omniglot.com/writing/avar.htm
Avar,г,U+0433,g,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 260",http://www.omniglot.com/writing/avar.htm
Avar,гъ,U+0433 U+044A,ʁ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 261",http://www.omniglot.com/writing/avar.htm
Avar,гь,U+0433 U+044C,h,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 262",http://www.omniglot.com/writing/avar.htm
Avar,гӏ,U+0433 U+04CF,ʕ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 263",http://www.omniglot.com/writing/avar.htm
Avar,д,U+0434,d,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 264",http://www.omniglot.com/writing/avar.htm
Avar,е,U+0435,e,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 265",http://www.omniglot.com/writing/avar.htm
Avar,е,U+0435,je,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 266",http://www.omniglot.com/writing/avar.htm
Avar,ё,U+0451,jo,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 267",http://www.omniglot.com/writing/avar.htm
Avar,ж,U+0436,z,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 268",http://www.omniglot.com/writing/avar.htm
Avar,з,U+0437,ð,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 269",http://www.omniglot.com/writing/avar.htm
Avar,и,U+0438,i,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 270",http://www.omniglot.com/writing/avar.htm
Avar,й,U+0439,j,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 271",http://www.omniglot.com/writing/avar.htm
