script,grapheme,unicode,ӏPA,comment,source,omniglot
Kabardian (East Circassian),а,U+0430,aː,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),б,U+0431,b,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),в,U+0432,v,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),г,U+0433,ɡ,only in loanwords,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),г,U+0433,ɣ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),гу,U+0433U+0443,ɡʷ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),гъ,U+0433U+044A,ʁ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),гъу,U+0433U+044AU+0443,ʁʷ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),д,U+0434,d,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),дж,U+0434U+0436,ɡʲ,some dialects,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),дж,U+0434U+0436,d͡ʒ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),дз,U+0434U+0437,d͡z,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),е,U+0435,aj,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),е,U+0435,ja,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ё,U+0451,jo,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ж,U+0436,ʒ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
