script,grapheme,IPA,comment,source,omniglot
Lak,а,a,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,аь,aˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,б,b,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,в,w,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,г,g,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,гъ,ʁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,гь,h,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,д,d,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,е,e,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ё,jo,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ж,ʒ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,з,z,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,и,i,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,й,iˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,к,k,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,кӏ,kʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,кк,kː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,къ,qː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,кь,qʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,л,l,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,м,m,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,н,n,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,о,o,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,оь,oˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,п,p,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,пӏ,pʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,пп,pː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,р,r,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,с,s,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,сс,sː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,т,t,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,тӏ,tʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,тт,tː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,у,u,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ф,f,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,х,χ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,хӏ,ħ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,хх,χː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,хъ,q,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,хь,x,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,хьхь,xː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ц,ts,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,цӏ,tsʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,цц,tsː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ч,tʃ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,чӏ,tʃʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,чч,tʃː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ш,ʃ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,щ,ʃː,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ъ,ʔ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ы,ɨ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ь, ʲ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,э,e,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,ю,uˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,я,aˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,А,a,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Аь,aˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Б,b,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,В,w,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Г,g,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Гъ,ʁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Гь,h,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Д,d,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Е,e,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Ё,jo,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Ж,ʒ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,З,z,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,И,i,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Й,iˁ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,К,k,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
Lak,Кӏ,kʼ,,Schulze 2007: 3-4.,https://www.omniglot.com/writing/lak.htm
