script,grapheme,IPA,comment,source,omniglot
Lezgi,а,a,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,б,b,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,в,w,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,в,v,in russian loanwords,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,г,g,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,гъ,ʁ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,гь,h,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,гь,ʡ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,д,d,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,е,e,after a consonant,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,е,je,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,ё,jo,in russian loanwords,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,ж,ʒ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,з,z,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,и,i,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,й,j,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,к,k,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,к,kʰ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,къ,q,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,кь,q',,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,кӏ,k',,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,л,l,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,м,m,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,н,n,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,о,o,in russian loanwords,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,п,p,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,п,pʰ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,пӏ,p',,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,р,r,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,с,s,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,т,t,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,т,tʰ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,тӏ,t',,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,у,u,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,уь,y,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,ф,f,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,х,χ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,хъ,qʰ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,хь,x,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,ц,ts,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
Lezgi,ц,tsʰ,,Haspelmath 1993: 28-35.,https://www.omniglot.com/writing/lezgi.htm
