script,grapheme,IPA,comment,source,omniglot
Tabasaran,а,a,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,аь,ӕ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,б,b,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,в,v,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,в,w,"after consonants  г, гь, ж, к, къ, кь, к1, х, хъ, ч, ч1, ш","Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,г,g,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,г,ɣ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,гъ,ʁ ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,гь,h,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,д,d,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,е,ɛ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,е,jɛ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,ё,jo,only russian loanwords,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,ж,ʒ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,ж,dʒ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,з,z,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,з,dz,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,и,i,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,й,j,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,к,kʰ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,къ,qːʰ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,кь,qʼ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,кӏ,kʼ,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
Tabasaran,л,l,,"Алексеев, Шихалиева 2003: 29-30.",httpsː//www.omniglot.com/writing/tabassaran.htm
